Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,FF,FR,II,NP,PP,Total
CH 105,D1,,,,,,,,,,,1.0,,,,1
CH 105,D3,,,,,,,,,1.0,,,,,,1
CH 107,D1,,,,,,,,,,,4.0,,,,4
CH 107,D2,,,,,,,,,,,1.0,,,,1
CH 107,S1,,,,,,,,,,,,,,,1
CH 117,P1,45.0,30.0,,,7.0,,,,,,,,,,82
CH 117,P10,42.0,25.0,,,8.0,2.0,1.0,,,,1.0,,,,79
CH 117,P2,40.0,43.0,,,3.0,,,,,,,,,,86
CH 117,P3,40.0,35.0,,,12.0,1.0,,,,,,,,,88
CH 117,P4,41.0,41.0,,,16.0,3.0,,,,,1.0,,,,102
CH 117,P7,67.0,15.0,2.0,,3.0,,1.0,,,,,,,,88
CH 117,P8,64.0,22.0,2.0,,3.0,,,,,,,,,,91
CH 117,P9,64.0,14.0,2.0,,8.0,,,,,,,,,,88
CH 209,Main,3.0,5.0,,,7.0,5.0,1.0,1.0,5.0,,3.0,,,,30
CH 219,Main,12.0,9.0,,,8.0,,,,,,1.0,,,,30
CH 225,Main,8.0,4.0,,,5.0,6.0,3.0,1.0,,,3.0,,,,30
CH 231,Main,13.0,10.0,,,3.0,,,,,,1.0,,,,27
CH 301,Main,1.0,1.0,,,3.0,5.0,5.0,6.0,10.0,,3.0,,,,34
CH 305,Main,1.0,5.0,,,5.0,4.0,5.0,2.0,7.0,,3.0,,,,32
CH 305,M,1.0,,,,,,,,,,,,,,1
CH 309,Main,1.0,7.0,,,6.0,3.0,3.0,2.0,3.0,,3.0,,,,28
CH 311,Main,3.0,7.0,,1.0,7.0,4.0,3.0,3.0,,2.0,,,,,30
CH 313,Main,12.0,6.0,,,9.0,,,,,,1.0,,,,28
CH 315,Main,13.0,10.0,,,3.0,,1.0,,,,1.0,,,,28
CH 397,Main,2.0,,,,,,,,,,,,,,2
CH 401,Main,4.0,12.0,,,17.0,11.0,9.0,,5.0,,1.0,,,,59
CH 403,Main,23.0,47.0,,1.0,20.0,8.0,2.0,7.0,,,6.0,,,,114
CH 405,Main,12.0,17.0,,,17.0,6.0,2.0,1.0,1.0,,,,,,56
CH 415,Main,31.0,21.0,,,4.0,,,,,,,,,,56
CH 417,Main,40.0,15.0,,,1.0,,,,,,,,,,56
CH 425,Main,11.0,20.0,1.0,,8.0,7.0,11.0,2.0,3.0,,10.0,,,,73
CH 433,Main,15.0,18.0,,,13.0,10.0,,,,,,,,,56
CH 481,Main,14.0,12.0,1.0,,14.0,8.0,4.0,5.0,,,1.0,,,,59
CH 507,Main,31.0,21.0,,1.0,14.0,7.0,3.0,,,,1.0,,,,78
CH 521,Main,16.0,23.0,,1.0,34.0,20.0,9.0,8.0,5.0,,,,,,116
CH 546,Main,9.0,13.0,,1.0,16.0,8.0,7.0,1.0,,,,,,,55
CH 547,Main,30.0,30.0,,,23.0,4.0,5.0,,,,,,,,92
CH 584,Main,9.0,9.0,,,7.0,8.0,8.0,6.0,2.0,,,1.0,,,50
CH 591,Main,3.0,3.0,,,,1.0,,,,,1.0,,,,8
CH 593,Main,29.0,20.0,,,5.0,,1.0,1.0,,,,,,,56
CH 595,Main,1.0,,,,1.0,1.0,,,,,,,,,3
CH 812,Main,4.0,7.0,,1.0,5.0,1.0,1.0,,,,1.0,,,,20
CH 817,Main,,4.0,,,3.0,1.0,1.0,3.0,1.0,,,,,,13
CH 827,Main,3.0,4.0,,1.0,9.0,9.0,4.0,2.0,2.0,,,,,,34
CH 831,Main,21.0,31.0,,,2.0,,,,,,,,,,54
CH 839,Main,9.0,5.0,,,11.0,6.0,1.0,,,,,,,,32
CH 845,Main,7.0,9.0,,,,,,,,,,,,,16
CH 899,Main,,,,,,,,,,,,,,53.0,53
CHS801,Main,22.0,6.0,,,,1.0,,,,,,,,,29
CL 207,S1,6.0,7.0,,,17.0,15.0,8.0,6.0,3.0,,5.0,,,,67
CL 207,S2,2.0,14.0,1.0,,29.0,6.0,4.0,3.0,2.0,,3.0,,,,64
CL 249,Main,22.0,33.0,,,30.0,30.0,22.0,7.0,1.0,,2.0,,,,147
CL 254,S1,4.0,8.0,,,8.0,9.0,13.0,6.0,13.0,,7.0,1.0,,,69
CL 254,S2,4.0,8.0,1.0,,8.0,9.0,12.0,6.0,8.0,,12.0,,,,68
CL 306,Main,8.0,14.0,,,22.0,31.0,23.0,26.0,20.0,,3.0,2.0,,,149
CL 307,Main,8.0,,,,,,,,,,,,,,8
CL 327,Main,13.0,22.0,2.0,,34.0,22.0,20.0,12.0,13.0,,11.0,7.0,,,156
CL 329,S1,7.0,3.0,1.0,,10.0,13.0,12.0,10.0,2.0,9.0,5.0,1.0,,,73
CL 329,S2,5.0,8.0,,,11.0,14.0,16.0,11.0,4.0,,1.0,1.0,,,71
CL 333,Main,18.0,23.0,,,27.0,38.0,17.0,14.0,4.0,,6.0,,,,147
CL 336,Main,1.0,,,,1.0,,1.0,,,,1.0,,,,4
CL 409,Main,,5.0,,,8.0,7.0,4.0,,2.0,,,2.0,,,28
CL 409,S1,,,,,,,,,1.0,,,,,,1
CL 443,Main,47.0,10.0,,,2.0,1.0,,,,,,3.0,,,63
CL 461,Main,10.0,41.0,,1.0,10.0,11.0,7.0,2.0,,,1.0,1.0,,,84
CL 464,Main,7.0,15.0,2.0,,12.0,23.0,15.0,19.0,8.0,,1.0,,,,102
